epoch,logits_variance_loss,loss,val_logits_variance_loss,val_loss
0,63.4193792639,63.4193792639,27.7813744812,27.7813744812
1,21.5371576285,21.5371576285,24.7005704132,24.7005704132
2,13.7265198103,13.7265198103,28.2634939545,28.2634939545
3,9.85340140724,9.85340140724,29.4963287735,29.4963287735
4,8.88078827492,8.88078827492,28.0987902069,28.0987902069
5,7.66998696138,7.66998696138,31.648128952,31.648128952
6,6.53330871839,6.53330871839,25.264705069,25.264705069
7,5.88423176067,5.88423176067,29.582274765,29.582274765
8,5.48144148903,5.48144148903,32.1764660294,32.1764660294
9,4.74117534554,4.74117534554,27.6901392933,27.6901392933
10,4.49098472815,4.49098472815,28.5000047226,28.5000047226
11,3.9632825247,3.9632825247,39.0294285553,39.0294285553
12,4.05308709462,4.05308709462,33.2491473579,33.2491473579
13,3.58903087775,3.58903087775,30.5459848163,30.5459848163
14,3.26195077373,3.26195077373,25.0550153587,25.0550153587
15,3.24602406118,3.24602406118,35.3536973404,35.3536973404
16,3.25696862787,3.25696862787,31.3453168518,31.3453168518
17,2.73864821942,2.73864821942,27.2763673752,27.2763673752
18,2.7180928557,2.7180928557,27.5550535319,27.5550535319
19,2.19948534687,2.19948534687,32.0554250694,32.0554250694
