epoch,logits_variance_loss,loss,val_logits_variance_loss,val_loss
0,190.388155068,190.388155068,67.9903990479,67.9903990479
1,99.9664181982,99.9664181982,49.2421249329,49.2421249329
2,79.8992652563,79.8992652563,43.0918468933,43.0918468933
3,68.8249895557,68.8249895557,39.508437674,39.508437674
4,62.3691816357,62.3691816357,37.2602083527,37.2602083527
5,58.7631309204,58.7631309204,35.4943611206,35.4943611206
6,54.6693080054,54.6693080054,34.3715126221,34.3715126221
7,52.4683400708,52.4683400708,33.4117202515,33.4117202515
8,49.9827967969,49.9827967969,32.628659668,32.628659668
9,48.1843648218,48.1843648218,31.7972068634,31.7972068634
10,46.952348855,46.952348855,31.2685586914,31.2685586914
11,44.7566376013,44.7566376013,30.7409984802,30.7409984802
12,44.1756200208,44.1756200208,30.1900718658,30.1900718658
13,42.9553352148,42.9553352148,29.8132534973,29.8132534973
14,42.3945081519,42.3945081519,29.4454734711,29.4454734711
15,40.6419920752,40.6419920752,29.2795934052,29.2795934052
16,40.3835666016,40.3835666016,28.915343927,28.915343927
17,39.9273028564,39.9273028564,28.6303672729,28.6303672729
18,38.78057021,38.78057021,28.3842326843,28.3842326843
19,38.3100341724,38.3100341724,28.0856338074,28.0856338074
20,37.6971205469,37.6971205469,27.9176286011,27.9176286011
21,37.0278937378,37.0278937378,27.6425406784,27.6425406784
22,37.0385480212,37.0385480212,27.4570240631,27.4570240631
23,36.0460291663,36.0460291663,27.4113225571,27.4113225571
24,35.5996640771,35.5996640771,27.1542576416,27.1542576416
25,35.301649834,35.301649834,26.9491878616,26.9491878616
26,34.7406938013,34.7406938013,26.781533992,26.781533992
27,35.1228746985,35.1228746985,26.6493216141,26.6493216141
28,34.3207049512,34.3207049512,26.5608877426,26.5608877426
29,33.9268900757,33.9268900757,26.5016680511,26.5016680511
30,33.4684719116,33.4684719116,26.4269804535,26.4269804535
31,33.2828187769,33.2828187769,26.2670381775,26.2670381775
32,33.1366505591,33.1366505591,26.0540877884,26.0540877884
33,32.899944231,32.899944231,25.8788911758,25.8788911758
34,32.5436307751,32.5436307751,25.6545966309,25.6545966309
35,32.0222727539,32.0222727539,25.7111995361,25.7111995361
36,31.7148997058,31.7148997058,25.6901254623,25.6901254623
37,31.6514530804,31.6514530804,25.4992276596,25.4992276596
38,31.3135857544,31.3135857544,25.5682715942,25.5682715942
39,31.4309270184,31.4309270184,25.4013320435,25.4013320435
40,30.8770190271,30.8770190271,25.3105721237,25.3105721237
41,30.4005685046,30.4005685046,25.2060411362,25.2060411362
