epoch,logits_variance_loss,loss,softmax_output_categorical_accuracy,softmax_output_loss,val_logits_variance_loss,val_loss,val_softmax_output_categorical_accuracy,val_softmax_output_loss
0,2.33599156635,1.32707915272,0.716790000038,0.859880830564,0.703081948948,0.496895480299,0.8762,0.35627908988
1,0.923711940918,0.693909783726,0.829350000057,0.509167390432,0.485299989796,0.41098157649,0.8898,0.313921577549
2,0.690304749985,0.589533614683,0.849590000076,0.451472661295,0.396647592735,0.373038131809,0.8972,0.293708608532
3,0.583034417343,0.538307104397,0.857999999981,0.421700218792,0.351575093842,0.353948548365,0.9006,0.283633527088
4,0.512935500927,0.503070784101,0.865929999981,0.400483682814,0.323571153641,0.340183655477,0.9044,0.275469421768
5,0.471439622259,0.479773700485,0.869879999943,0.385485773392,0.306639023328,0.332350614882,0.9058,0.271022808456
6,0.442788152084,0.464587216196,0.87346,0.376029583626,0.293032294083,0.324822540736,0.9078,0.266216082382
7,0.425475703602,0.455623423176,0.87445,0.370528281221,0.284702000046,0.319773487926,0.9092,0.262833086777
8,0.407935662308,0.444216374121,0.876430000076,0.362629239683,0.277688620543,0.315785099578,0.9094,0.26024737258
9,0.390892558489,0.430967025805,0.880080000057,0.352788511086,0.272589155579,0.312863149548,0.9086,0.258345319188
10,0.379325208569,0.422834511051,0.882800000095,0.346969467487,0.267032777214,0.308666908932,0.9112,0.255260353184
11,0.370128073645,0.416657371826,0.883359999962,0.342631754875,0.263025281358,0.305652376413,0.91,0.253047318769
12,0.361030038452,0.40828906189,0.886309999962,0.336083052368,0.260149200773,0.303931110883,0.9115,0.251901272249
13,0.351929104156,0.401318708525,0.888010000114,0.330932885666,0.255395508194,0.299359678149,0.9111,0.248280574751
14,0.349326092129,0.399710826359,0.88741,0.32984560564,0.252005370164,0.296069896173,0.9131,0.245668821144
15,0.339744716396,0.390448653316,0.888630000057,0.322499708042,0.249730452979,0.29408640461,0.9143,0.244140314472
16,0.334967604504,0.385912214737,0.890760000019,0.31891869236,0.247547811687,0.292152417183,0.9145,0.24264285301
17,0.330512980223,0.382197420301,0.891849999924,0.316094822435,0.246190320992,0.291334815359,0.9148,0.242096750176
18,0.324354763775,0.376008455696,0.893760000076,0.311137500811,0.244086763489,0.289259220648,0.9153,0.240441867793
19,0.318264106069,0.370279507141,0.895760000134,0.306626684418,0.243437036133,0.288896050358,0.9153,0.240208641768
20,0.317198226242,0.369545976439,0.895419999981,0.306106329203,0.242790509367,0.288597232723,0.9155,0.240039130545
