epoch,logits_variance_loss,loss,softmax_output_categorical_accuracy,softmax_output_loss,val_logits_variance_loss,val_loss,val_softmax_output_categorical_accuracy,val_softmax_output_loss
21,0.313845217638,0.366111220245,0.895190000038,0.303342175217,0.240687454891,0.286114472675,0.9156,0.237976980472
22,0.309511963263,0.361776214867,0.896909999924,0.29987382184,0.239529513395,0.285244194818,0.9168,0.237338290918
23,0.306296567097,0.358680348682,0.898190000076,0.297421033592,0.23846715312,0.284097706592,0.9164,0.236404273522
24,0.303287773952,0.355782258463,0.898809999962,0.295124702797,0.238319467831,0.284121881557,0.9166,0.236457989442
25,0.300003007746,0.35241297245,0.89885,0.292412369499,0.236951789212,0.282772210336,0.9169,0.235381851959
26,0.298454138498,0.350992036572,0.899290000114,0.291301207657,0.235976106834,0.281656710243,0.9172,0.234461487889
27,0.293442116632,0.345476840038,0.901310000038,0.286788416481,0.233880186307,0.279345717287,0.9183,0.232569678879
28,0.289309447527,0.340788902321,0.901810000038,0.282927012768,0.234109668159,0.279740169001,0.9178,0.2329182356
29,0.287535140142,0.339162904758,0.902050000114,0.281655876341,0.233726555967,0.279422884846,0.9183,0.232677573121
30,0.286083348608,0.337261861429,0.903870000191,0.280045190697,0.232518265605,0.278008421361,0.9194,0.231504765642
31,0.282649153786,0.33368895834,0.904060000038,0.277159126697,0.231135277581,0.276446074271,0.9194,0.230219016767
32,0.279370377655,0.329845388403,0.905840000095,0.273971312065,0.231369986463,0.276775401425,0.9186,0.230501401234
33,0.281074283876,0.332316808071,0.90381,0.276101949511,0.231567380142,0.277034681559,0.9193,0.230721205676
34,0.276760236359,0.327274052982,0.905990000153,0.271922004204,0.231401293099,0.276936113131,0.9192,0.230655855119
35,0.27418108779,0.324497060137,0.90586,0.269660841331,0.230444438934,0.275781743813,0.919,0.229692856097
36,0.273637951236,0.323399579134,0.90689,0.268671988959,0.22956957612,0.274792132974,0.9193,0.228878216529
37,0.273597636852,0.323580455923,0.906220000019,0.268860927343,0.229088973689,0.274272887421,0.9198,0.22845509268
38,0.272861413784,0.323171334877,0.907090000153,0.268599051666,0.22887437402,0.274014682996,0.92,0.22823980819
39,0.269474748554,0.318826056023,0.907770000153,0.264931105404,0.228237222624,0.273262879014,0.92,0.227615433037
40,0.267161155195,0.316522432613,0.909450000076,0.263090200477,0.22680063808,0.271553566241,0.9207,0.226193436337
41,0.2676417873,0.317245460663,0.90861,0.263717102165,0.226748725498,0.27143959527,0.9207,0.226089850092
42,0.261538705325,0.310067777581,0.911140000076,0.257760035481,0.226982298934,0.271836839628,0.9206,0.226440379918
43,0.261722488599,0.309150711293,0.910630000038,0.25680621336,0.226338775277,0.271095754552,0.9212,0.225827999568
44,0.263866970844,0.313062962847,0.909909999962,0.260289569445,0.226228055346,0.270955939245,0.922,0.225710325122
45,0.259454112425,0.307680315146,0.911529999962,0.255789492407,0.225942299867,0.270644090056,0.9221,0.225455631232
46,0.256756114254,0.304229891214,0.911639999962,0.252878668451,0.225606135607,0.270286819589,0.9219,0.22516559056
47,0.260538521061,0.308479834299,0.910400000057,0.256372129517,0.226156972551,0.270903916073,0.9206,0.225672520268
48,0.255534719038,0.302609280128,0.912699999886,0.251502336121,0.225399341714,0.270004868627,0.9219,0.224925000286
49,0.253603782816,0.300814421997,0.912710000038,0.250093665552,0.225983496809,0.270739449835,0.9213,0.225542750621
50,0.254380489841,0.301805165119,0.912290000019,0.250929066591,0.225742126369,0.270466449738,0.922,0.225318025076
51,0.252631257334,0.299722991486,0.913459999962,0.249196739159,0.224665118241,0.269174664748,0.9229,0.224241641021
52,0.250858499079,0.29690437911,0.91351,0.246732678676,0.224803013456,0.269377694392,0.9226,0.224417090333
53,0.248224516964,0.294701336555,0.915040000153,0.245056432934,0.224951399517,0.269556615067,0.9231,0.224566332877
54,0.248009784184,0.293281866398,0.915010000057,0.243679908867,0.224217931902,0.268634352386,0.9231,0.2237907673
55,0.250172564998,0.296723425856,0.91368,0.246688912706,0.223592912018,0.267999364495,0.9234,0.223280781019
56,0.24654067728,0.292437982817,0.915610000019,0.24312984652,0.224116800916,0.268531983078,0.923,0.223708623433
57,0.246614872489,0.292728170977,0.914870000038,0.243405196123,0.223370945311,0.267687968719,0.9233,0.223013780499
58,0.244655416489,0.289937789173,0.916530000114,0.241006705432,0.222890300477,0.267079441273,0.9237,0.22250138011
59,0.243799089274,0.288723237338,0.916450000038,0.239963418708,0.222691047776,0.266858749545,0.9236,0.222320540214
60,0.243502168446,0.288881158857,0.916320000038,0.240180724683,0.222593759704,0.266737442923,0.9231,0.222218692052
61,0.242343240852,0.287833623486,0.916420000038,0.239364975123,0.222567933667,0.266667272913,0.9238,0.222153684735
62,0.241331055288,0.286365666637,0.917710000114,0.238099454112,0.22268797226,0.266852784967,0.9238,0.222315190673
63,0.241254541454,0.286581925192,0.916980000038,0.238331017065,0.221213113427,0.265090895188,0.9236,0.220848272502
64,0.23835445673,0.283142875004,0.918320000076,0.235471982808,0.221414520788,0.265373659575,0.9234,0.221090755266
65,0.238307330017,0.282822350006,0.917830000114,0.235160884018,0.22148844409,0.265443908501,0.9238,0.221146220899
66,0.234819319324,0.278822042418,0.91889,0.231858178511,0.222077132452,0.266209234941,0.9238,0.22179380883
67,0.237188067923,0.281481984882,0.918619999962,0.234044370203,0.221189129674,0.265114707649,0.9243,0.220876881099
68,0.236412951775,0.280294774675,0.91873,0.233012183399,0.221813036013,0.265861562836,0.9236,0.221498955715
69,0.236785933576,0.280815757623,0.918059999924,0.233458569808,0.221540795588,0.265510283566,0.9238,0.22120212338
70,0.233951358304,0.277951283469,0.91895,0.231161010966,0.221473085868,0.265450546145,0.9237,0.221155929506
71,0.233272809048,0.276517700186,0.918900000038,0.229863138533,0.221736517227,0.26575986681,0.924,0.221412561762
72,0.23585614913,0.280018571949,0.918610000076,0.232847341576,0.221016744971,0.264894770145,0.9238,0.220691422141
73,0.229787208529,0.272684736013,0.921570000095,0.22672729331,0.22101973983,0.264927204692,0.9233,0.22072325772
74,0.227448928385,0.26966888257,0.921090000038,0.224179096384,0.220779869807,0.264639919555,0.9239,0.220483944142
75,0.231174048657,0.274651468639,0.920720000114,0.228416658554,0.220467633283,0.264292458296,0.9244,0.220198930955
76,0.227755188637,0.270465697231,0.922009999962,0.224914659252,0.219740886712,0.263410123277,0.9247,0.219461946166
